source,target,weight,parent_user,source_is_replier,target_is_replier
Aydn44988980,mattvanswol,1,trump,True,False
Aye_Alec_Aye,SenateDems,1,aoc,True,False
AzzaraBob,Eman856,1,trump,True,False
AzzaraBob,johnpavlovitz,1,trump,True,False
AzzaraBob,krassenstein,1,trump,True,False
B1302562115,DianaforQueens,1,aoc,True,False
BIG_GREAT01,grok,1,trump,True,True
BJebski,SenSchumer,1,aoc,True,False
BJebski,SenateDems,1,aoc,True,False
BL4DERU77ER,GMONEYPEPE,1,trump,True,False
BL4DERU77ER,RochelleAz,1,trump,True,False
BL4DERU77ER,Ronxyz00,1,trump,True,False
BLUKeizer,robmailhouseprv,1,trump,True,False
BMonkjuice,AdamLowisz,1,trump,True,False
BMonkjuice,DanaWayne316,1,trump,True,False
BMonkjuice,Lara_maga47,2,trump,True,False
BMonkjuice,RapidResponse47,2,trump,True,False
BRENDAunicorn,ICEgov,2,trump,True,False
BS1611968,s_m_marandi,1,trump,True,False
BShaw28086,SenateDems,1,aoc,True,False
BTCLandlord3,Slothspepe,1,trump,True,False
BVPforAmerica,shella_64173,1,trump,True,False
Babak222b,yYh8x5hC6nxh1Wd,1,trump,True,False
Bacon_Puddin,DianaforQueens,1,aoc,True,False
BadMCPO,LauraLoomer,1,aoc,True,False
Bad_Muthafker,DianaforQueens,1,aoc,True,False
Badsaltydog,CommunityNotes,1,aoc,True,False
Badsaltydog,gafhdkdbv,1,aoc,True,True
BaileyRobins3,SenateDems,1,aoc,True,False
BallzRHarry,JamieBonkiewicz,1,trump,True,False
BananaNoRice,SenateDems,1,aoc,True,False
Banksterbo123,SenSchumer,2,aoc,True,False
Banksterbo123,SenateDems,2,aoc,True,False
Barbara39398933,TheDemocrats,2,aoc,True,False
Barbara58138419,SenateDems,2,aoc,True,False
BarbaraPer91674,Dede_Watson,1,trump,True,False
BarkhurstT46231,originalmarkz,1,aoc,True,False
BarnickJason,DianaforQueens,1,aoc,True,False
BarnickJason,RelentlessLaman,1,aoc,True,True
BarryHaines11,TinktinkBackup,1,trump,True,False
BassoffBiba,NikkiRocky50413,2,trump,True,True
BassoffBiba,krassenstein,2,trump,True,False
Bayerjone88,grok,1,trump,True,True
BayonneJo,SenSchumer,1,aoc,True,False
BayonneJo,SenateDems,1,aoc,True,False
Bcamps__,SenateDems,1,aoc,True,False
BchKDH,SenateDems,1,aoc,True,False
BdallhR76706,grok,1,trump,True,True
BeBestNOW,_Firulita,1,aoc,True,True
BeBestNOW,realMaalouf,1,aoc,True,False
BeXDota,DaniMayakovski,1,trump,True,False
BeXDota,s_m_marandi,1,trump,True,False
BearsFan4Lyf3,SenateDems,1,aoc,True,False
Becky59818383,LScovern1982,1,trump,True,False
BedOfRoses,allgoodmight,1,trump,True,True
BedOfRoses,grok,1,trump,True,True
Bedeseame,BenDempsey18,1,aoc,True,False
Bedeseame,grok,1,aoc,True,True
BeerWithDinner,SenSchumer,1,aoc,True,False
BeerWithDinner,SenateDems,1,aoc,True,False
Beesglass,SenSchumer,1,aoc,True,False
Beesglass,SenateDems,1,aoc,True,False
Beguiled14evr,GuntherEagleman,1,aoc,True,False
Beguiled14evr,SenSchumer,1,aoc,True,False
Beguiled14evr,SenateDems,2,aoc,True,False
Beguiled14evr,TheDemocrats,1,aoc,True,False
BenBenbarnhill4,SenateDems,1,aoc,True,False
BethArgo,MayeH51586,1,trump,True,False
